32768,32768,24576,32768
32939,33024,25344,32939
33109,33280,26111,33109
33280,33536,26877,33280
33451,33791,27640,33450
33621,34047,28400,33620
33792,34302,29157,33789
33962,34556,29909,33958
34133,34811,30656,34127
34303,35064,31397,34295
34474,35318,32132,34462
34644,35570,32859,34629
34815,35822,33578,34795
34985,36073,34288,34960
35155,36323,34988,35124
35325,36573,35679,35287
35496,36821,36358,35448
35666,37069,37026,35609
35836,37315,37682,35769
36005,37561,38326,35927
36175,37805,38955,36083
36345,38048,39571,36239
36514,38290,40172,36393
36684,38530,40758,36545
36853,38769,41328,36695
37023,39006,41882,36844
37192,39242,42418,36992
37361,39477,42938,37137
37530,39710,43439,37280
37699,39941,43922,37422
37867,40170,44386,37561
38036,40397,44831,37698
38204,40623,45256,37834
38372,40847,45661,37967
38540,41068,46045,38097
38708,41288,46408,38226
38876,41506,46750,38352
39044,41721,47070,38476
39211,41934,47369,38597
39378,42145,47645,38715
39545,42354,47898,38832
39712,42561,48129,38945
39879,42765,48337,39056
40045,42966,48521,39164
40212,43165,48682,39269
40378,43362,48820,39371
40544,43556,48934,39471
40709,43747,49024,39568
40875,43936,49090,39661
41040,44122,49133,39752
41205,44305,49151,39840
41370,44485,49146,39924
41535,44663,49116,40006
41699,44838,49062,40084
41863,45009,48985,40159
42027,45178,48884,40231
42190,45343,48758,40300
42354,45506,48610,40366
42517,45665,48438,40428
42680,45822,48242,40487
42842,45975,48024,40542
43004,46125,47782,40594
43166,46271,47518,40643
43328,46415,47232,40688
43490,46555,46923,40730
43651,46691,46592,40769
43811,46825,46240,40803
43972,46954,45867,40835
44132,47081,45473,40863
44292,47203,45059,40887
44452,47323,44625,40908
44611,47439,44171,40926
44770,47551,43698,40939
44929,47659,43206,40950
45087,47764,42696,40957
45245,47866,42169,40960
45403,47963,41624,40959
45560,48057,41063,40955
45717,48147,40485,40948
45873,48234,39892,40937
46030,48316,39284,40922
46186,48395,38662,40904
46341,48470,38026,40883
46496,48541,37376,40857
46651,48608,36715,40829
46805,48672,36041,40797
46959,48732,35356,40761
47113,48787,34661,40722
47266,48839,33956,40679
47419,48887,33241,40633
47572,48931,32519,40584
47724,48971,31788,40531
47875,49007,31050,40475
48027,49039,30307,40415
48177,49067,29557,40353
48328,49091,28803,40286
48478,49111,28044,40217
48627,49127,27282,40144
48777,49139,26518,40068
48925,49147,25751,39989
49073,49151,24984,39907
49221,49152,24216,39822
49369,49148,23448,39734
49516,49140,22682,39642
49662,49128,21917,39548
49808,49112,21155,39451
49954,49092,20396,39351
50099,49068,19642,39248
50243,49041,18892,39142
50387,49009,18147,39033
50531,48973,17409,38922
50674,48933,16678,38808
50817,48890,15955,38692
50959,48842,15240,38572
51101,48791,14535,38451
51242,48735,13839,38327
51383,48676,13153,38200
51523,48613,12479,38071
51663,48545,11816,37940
51802,48475,11166,37806
51940,48400,10529,37671
52079,48321,9906,37533
52216,48239,9297,37393
52353,48153,8703,37251
52490,48063,8125,37107
52626,47969,7562,36962
52761,47872,7016,36814
52896,47771,6488,36665
53031,47666,5977,36514
53165,47558,5484,36361
53298,47446,5010,36207
53431,47330,4555,36052
53563,47211,4119,35895
53694,47088,3704,35736
53825,46962,3308,35576
53956,46833,2934,35416
54086,46700,2581,35253
54215,46563,2249,35090
54344,46423,1939,34926
54472,46280,1651,34761
54600,46134,1386,34595
54727,45984,1143,34428
54853,45831,923,34261
54979,45675,726,34093
55104,45516,552,33924
55229,45354,402,33755
55352,45188,276,33585
55476,45020,173,33415
55599,44848,94,33245
55721,44674,39,33075
55842,44497,8,32904
55963,44316,0,32733
56083,44133,17,32563
56203,43948,58,32392
56322,43759,123,32222
56440,43568,212,32052
56558,43374,324,31882
56675,43178,460,31712
56791,42979,620,31543
56907,42777,803,31375
57022,42573,1009,31207
57137,42367,1239,31040
57250,42158,1491,30873
57363,41948,1766,30708
57476,41734,2062,30543
57588,41519,2381,30379
57699,41302,2722,30216
57809,41082,3084,30055
57919,40860,3467,29894
58028,40637,3870,29735
58136,40411,4294,29577
58244,40184,4738,29421
58351,39955,5201,29266
58457,39724,5682,29112
58563,39491,6183,28960
58668,39257,6701,28810
58772,39021,7237,28662
58875,38784,7789,28515
58978,38545,8358,28370
59080,38305,8943,28227
59182,38063,9543,28086
59282,37820,10158,27947
59382,37576,10787,27810
59481,37331,11429,27675
59580,37084,12085,27542
59678,36837,12752,27412
59775,36588,13431,27284
59871,36339,14121,27159
59967,36089,14821,27035
60061,35838,15530,26915
60155,35586,16249,26797
60249,35333,16975,26681
60341,35080,17709,26568
60433,34826,18450,26458
60524,34572,19196,26351
60615,34318,19948,26246
60704,34063,20705,26144
60793,33807,21465,26045
60881,33552,22228,25949
60968,33296,22994,25856
61055,33040,23761,25766
61141,32784,24528,25679
61226,32528,25296,25595
61310,32272,26064,25514
61393,32016,26829,25436
61476,31760,27593,25362
61558,31505,28353,25290
61639,31250,29110,25222
61719,30995,29863,25158
61799,30741,30610,25096
61878,30487,31352,25038
61956,30234,32086,24983
62033,29981,32814,24932
62109,29730,33533,24884
62185,29478,34244,24839
62260,29228,34945,24798
62334,28978,35636,24760
62407,28730,36317,24726
62479,28482,36985,24695
62551,28236,37642,24668
62621,27990,38286,24644
62691,27746,38917,24624
62761,27503,39533,24607
62829,27261,40135,24594
62896,27021,40722,24585
62963,26782,41293,24579
63029,26544,41848,24576
63094,26308,42386,24577
63158,26074,42906,24582
63222,25841,43409,24590
63284,25610,43893,24602
63346,25380,44358,24617
63407,25153,44804,24636
63467,24927,45230,24658
63526,24703,45636,24684
63585,24481,46022,24713
63642,24262,46386,24746
63699,24044,46730,24783
63755,23828,47051,24823
63810,23615,47351,24866
63864,23404,47628,24912
63918,23195,47883,24963
63970,22988,48115,25016
64022,22784,48325,25073
64073,22582,48511,25133
64123,22383,48673,25197
64172,22186,48812,25263
64220,21992,48928,25334
64268,21800,49019,25407
64314,21612,49087,25483
64360,21426,49131,25563
64405,21242,49151,25646
64449,21062,49147,25732
